編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
4-134,挲嘴鬚,sooˇ zhe^ siˇ,"以手指撫摸鬍鬚，引申為悠閒自在的樣子。
例如：愛有錢有閒，正有挲嘴鬚過日个可能。",需有錢有閒，才有悠閒自在捻鬚過日的可能。,,動詞,,4外在活動與動作
4-135,抿嘴,bbidˊ zhe^,"抿著嘴。
例如：翕相个時務愛有笑面，毋好直直抿嘴。",照相時要有笑容，別一直抿著嘴。,,動詞,,4外在活動與動作
4-136,創壞壞,cong^ fai fai,"把事情弄得一團糟。
例如：佢真無耐性，事情交代佢，攏創壞壞。",他很沒耐性，事情交代他，全都弄得一團糟。,,動詞,,4外在活動與動作
4-137,汨水,mi fi^,"憋氣把臉沒入水中。
例如：泅水愛先學汨水，汨水無好勢就會食着水。",游泳要先學會憋氣，憋氣沒憋好就會喝到水。,,動詞,,4外在活動與動作
4-138,青驚掣屎,ciangˇ giangˇ cheedˊ shi^,"形容被嚇得屁滾尿流而跑得飛快。
例如：阿如真驚狗，遠遠䀴着，就走到青驚掣屎。",阿如很怕狗，遠遠一見著，就跑得飛快。,,動詞,,4外在活動與動作
4-139,揞揜（揞弇）,emˇ kebˊ (emˇ kem^),"以革布之類的軟物遮蓋。
例如：討落雨啊！攔緊拁禾坪个穀耙歸墩，用布篷揞揜起來。",要下雨了！趕快把晒穀場的稻穀耙成堆，用塑膠布遮蓋起來。,,動詞,,4外在活動與動作
4-140,無好食,moˋ hoo^ shiedˋ,"沒得吃。反義為「有好食」，此句式亦可插入名詞，如「無飯好食」、「無電視好䀴」、「無錢好用」、「無車好駛」。
例如：遐個人毋知係無好食抑係仰子，正會瘦到像一支竹篙个樣。",那個人不知是沒得吃或其他原因，才會瘦成像根竹竿一般。,,動詞,,4外在活動與動作
4-141,毋驚,mˋ giangˇ,"不懾於人的威勢之下。
例如：阿叔攏毋驚遐兜惡豺豺个鱸鰻，去佮佢人論理。",叔叔完全無懼於那些凶惡流氓的威勢，跟他們理論。,,動詞,,4外在活動與動作
4-142,沒水,mudˋ fi^,"水中閉氣。
例如：想討學會泅水，愛先學沒水。",想學會游泳，要先學水中閉氣。,,動詞,,4外在活動與動作
4-143,目汁含蹛,hmˊ zhibˊ hamˋ dai^,"含淚。
例如：𠊎目汁含蹛，毋敢唩出來。",我眼中含淚，不敢哭出來。,,動詞,,4外在活動與動作
4-144,滿面落淚,man^ mien^ labˋ lui,"淚流滿面的樣子。
例如：佢唩到滿面落淚，䀴着即真毋盼。",她哭得淚流滿面，讓人看了很捨不得。,,形容詞,,4外在活動與動作
4-145,此腔無此詞條,,,,,,,
4-146,此腔無此詞條,,,,,,,
4-147,撓人,niuˇ nginˋ,"搔人家癢；以甜言蜜語引誘人。
例如：佢直直撓人，害人笑到毋會轉氣。
例如：賣化妝品个人真會撓人，人客个錢攏拚勢撏撏出來拁佢買。","他一直搔人家癢，害人家笑得來不及換氣。
賣化妝品的人最會用甜言蜜語引誘人，客人的錢都紛紛掏出來跟他買。",,動詞,,4外在活動與動作
4-148,拖毋會過,tooˇ mˇ moi goo^,"撐不過。
例如：䀴佢身體按，驚拖毋會過今年。",看他的身體這樣，恐怕撐不過今年。,,動詞,,4外在活動與動作
4-149,頕頭,dom^/dim^ teuˋ,"點頭，即「頷首」，表首肯。
例如：這個學生，見䀴着先生，即會頕頭行禮。",這個學生，每次看見老師，就會點頭行禮。,,動詞,,4外在活動與動作
4-150,研粉,ngien^ fun^,"研磨成粉。
例如：驚老儕人食藥會哽着，先研粉正得佢食。",怕老人家吃藥會噎到，事先研磨成粉再讓他吃。,,動詞,,4外在活動與動作
4-151,𢳆走,ngauˋ zeu^,"轉向，另有故意躲開或不屑之意思。
例如：佢兩儕相對面，䀴着對方頭那即𢳆走。",他們兩個翻臉，看到對方頭都轉走。,,動詞,,4外在活動與動作
4-152,踅轉來,se zheen^ loiˋ,"轉向過來。
例如：天氣恁熱，請拁電扇踅轉來。",天氣這麼熱，請把電扇轉過來。,,動詞,,4外在活動與動作
4-153,𥍉,ngiabˊ,閃爍或眨眼，例如「直直𥍉」、「𥍉目」。,"一直閃。
眨眼。",,動詞,,4外在活動與動作
4-154,摺,zhiabˊ,包起或捲起，如講「摺起來」。,捲起來。,,動詞,,4外在活動與動作
4-155,摺衫袖,zhiabˊ samˇ ciu,"捲起衣袖，相近的動作如「摺褲腳」即捲起褲管。
例如：水缸內底撈物件，愛先摺衫袖正會使。",水缸裡撈東西，要先捲起衣袖才可以。,,動詞,,4外在活動與動作
4-156,染,ngiam,染，如「染頭那毛」、「染紅卵」。,"染頭髮。
染紅蛋。",,動詞,,4外在活動與動作
4-157,撿莫,giam^ mai^,"撿出來丟掉。
例如：禾坪炙穀，若有䀴着細粒石頭就順續撿莫。",晒穀場在晒穀，若是有看到小石頭就順便撿出來丟掉。,,動詞,,4外在活動與動作
4-158,揢,ka,以手按握或擠壓。如「揢牙膏」、「揢拳頭」。,"擠牙膏。
握拳。",,動詞,,4外在活動與動作
4-159,此腔無此詞條,,,,,,,
4-160,撙大腳髀,zun tai giooˊ bi^,"擰大腿。
例如：腳髀肉嫩嫩，所以撙大腳髀會真疾。",大腿肉細細嫩嫩，所以擰大腿會很疼。,,動詞,,4外在活動與動作
4-161,蹬綿,dem mien,"以腳踩爛。
例如：泥圝愛用腳蹬綿，正會散去。",泥團要用腳踩爛，才會散掉。,,動詞,,4外在活動與動作
4-162,弄得來,nung dedˊ loiˋ,"大搖大擺的不請自來。
例如：人無按算請佢，佢自家弄得來，猶嫌菜無好食，真得人慼。",人家沒打算請他，他不請自來，還一直嫌菜不好吃，真是討厭。,,短語,,4外在活動與動作
4-163,弄弄子行,nung nung zu^ hangˋ,"逕自走。
例如：打早即䀴佢頭俯俯弄弄子行，毋知討去哪位。",一大早就看他低著頭逕自走著，不知道要去哪。,,短語,,4外在活動與動作
4-164,噥,nungˋ ,"不自覺地喃喃自語、說個不停。
例如：後生子人頭驚老儕人噥。",年輕人最怕老人家念個不停。,,動詞,,4外在活動與動作
4-165,踅街,se geˇ,"閒步街頭、逛街。
例如：拜六暗夜出來踅街个人特別多。",週六晚上出來逛街的人特別多。,,動詞,,4外在活動與動作
4-166,撥塵灰,padˋ chinˋ fueˇ,"拍去灰塵。
例如：佢當在遐撥塵灰，毋好傷偎去。",他正在拍灰塵，不要靠太近。,,動詞,,4外在活動與動作
4-167,撥蚊,padˋ munˇ,"揮趕蚊子。
例如：你先去撥蚊，若無撥淨俐，歸夜即會難睡。",你先去揮趕蚊子，如果沒能全部趕走，整夜都將不好睡。,,動詞,,4外在活動與動作
4-168,撥淨來,padˋ ciang loiˋ,"拍打物體上的塵埃，使其潔淨。
例如：布久無用，愛先撥淨來，正好用。",布經久未用，須先拍乾淨，才能用。,,動詞,,4外在活動與動作
4-169,撥火,padˋ foo^,"搧火。
例如：火爐个火，若堵着斷點風，定著愛撥火正會猛。",爐子的火，如果遇到完全沒風的狀況，必須搧火才會猛。,,動詞,,4外在活動與動作
4-170,撥涼,padˋ liongˋ,"搧涼。
例如：若吹冷氣若擎葵扇來撥涼，感覺加真涼啊。",邊吹冷氣邊拿葵扇來搧涼，感覺更涼了。,,動詞,,4外在活動與動作
4-171,拌,panˇ,"除了棍子以外，用比較薄或細條的東西鞭打。
例如：阿圳當晝偷走去溪賞水，轉來得厥爸拌。",阿圳中午偷偷跑去河邊玩水，回來被他的爸爸修理。,,動詞,,4外在活動與動作
4-172,拌倒,panˇ doo^,"摔倒。
例如：泥下滑滑，會害人拌倒。",地板滑滑的，會害人摔倒。,「拌」，暫用字,動詞,,4外在活動與動作
4-173,灌風,guan^ fungˇ,"吹氣、打氣。
例如：你个車輪摸起來無風，愛灌風啊！",你的車輪摸起來沒氣，要打氣了！,,動詞,,4外在活動與動作
4-174,戴目鏡,doi^ hmˊ giang^,"戴眼鏡，以裝氣派。
例如：正讀幼稚園就學人戴目鏡，係毋係電視䀴忒多？",才念幼兒園就學人戴眼鏡、裝氣派，是不是看電視看太多了？,,動詞,,4外在活動與動作
4-175,呸口涎,pui^ keu^ lanˇ,"吐口水，引申為唾棄。
例如：為着環境衛生，毋好儘採呸口涎。",為了環境衛生，不要隨便吐口水。,,動詞,,4外在活動與動作
4-176,鼻香,pinn hiongˇ,"聞香。
例如：目珠大好䀴光，鼻空大好鼻香。",眼睛大可以看盡形形色色，鼻子大可以嗅聞天地間的香氣。,,動詞,,4外在活動與動作
4-177,刜草,pudˋ coo^,"用刀砍除雜草。
例如：草生到恁高，愛去刜草。",草長得這麼高了，要去除掉。,,動詞,,4外在活動與動作
4-178,盤上盤下,panˋ shong panˋ haˇ,"來回奔波。
例如：你兩儕透日共下盤上盤下，到底做麼个頭路。",你們倆整天一起來回奔波，到底做什麼工作。,,動詞,,4外在活動與動作
4-179,䀯蹛,pu dai^,"刺探著，偵伺著。
例如：佢藏在門後背䀯蹛，按算討捉賊。",他躲在門後偵伺著，預計要捉小偷。,,動詞,,4外在活動與動作
4-180,天甫光,teenˇ pu^ gongˇ,"天略微亮。
例如：天甫光定，阿公即去公園運動。",天微亮而已，爺爺就去公園運動。,,副詞,,4外在活動與動作
4-181,烳,puˋ,"以慢火烹煮，常用於「烳番薯」、「烳茶」。
例如：見擺人客來，𠊎依就喊𠊎去烳滾水泡茶。",每次客人來，我媽媽就叫我燒開水泡茶。,,動詞,,4外在活動與動作
4-182,覆蹛,puˊ dai^,"趴著。
例如：腰骨疾即去眠床底覆蹛，等一下拁你貼膏藥。",腰痛就去床上趴著，等一下幫你貼膏藥。,,動詞,,4外在活動與動作
4-183,覆落去,puˊ loo kui^,"趴下去。
例如：阿美得樹頭徑着，歸個人覆落去，額頭撞到起窿。",阿美被樹根絆倒，整個人趴下去，額頭撞出一個包。,,動詞,,4外在活動與動作
4-184,𠠃,ciam^,以尖刀深刺，例如「𠠃落去」、「𠠃豬」。,"刺下去。
殺豬。",,動詞,,4外在活動與動作
4-185,撨,cauˋ,"推拿、整骨，挪移調整。
例如：佢手骨㞇着，去得拳頭師傅撨轉去。",他的手扭到，去給推拿師推回去。,,動詞,,4外在活動與動作
4-186,撨位,cauˋ bbi,"調整位子，挪出空間。
例如：佢个腳行路無利便，會用撨位得佢坐無？",他的腳走路不方便，可以挪個位子給他坐嗎？,,動詞,,4外在活動與動作
4-187,捼粄,nua^ ban^,"搓揉粄團。
例如：愛先捼粄，正會用做菜包佮惜圓。",要先搓揉粄團，才能做菜包和湯圓。,,動詞,,4外在活動與動作
4-188,此腔無此詞條,,,,,,,
4-189,尋無,cimˋ moˋ,"找不到。
例如：你个條件恁好，仰子會到今猶尋無對象？",你的條件那麼好，怎麼會到現在還找不到對象？,,動詞,,4外在活動與動作
4-190,尋食,cimˋ shiedˋ,"找食物吃。
例如：遐陣當在大个細子足豺个，三不二時即開冰箱尋食。",那些發育中的孩子食欲旺盛，三不五時就開冰箱找食物吃。,,動詞,,4外在活動與動作
4-191,尋味,cimˋ bbi,探索玩味。例如「食到猶會尋味」。,吃了還會想吃。,,動詞,,4外在活動與動作
4-192,此腔無此詞條,,,,,,,
4-193,嗍乳,sooˊ neenˇ,"吸奶。
例如：恁多隻狗么在遐嗍乳，狗嫲个乳敢罅？",這麼多隻小狗在吸奶，母狗的乳汁夠嗎？,,動詞,,4外在活動與動作
4-194,挱起來,saˇ ki^ loiˋ,"抓起來。
例如：攔緊拁遐個賊挱起來，送去坐枷牢。",趕快把那小偷抓起來，送去坐牢。,,動詞,,4外在活動與動作
4-195,挱毋會着,saˇ mˋ moi choo,"抓不到，引申為摸不著頭緒。
例如：佢走真緊，你挱毋會着佢啦。
例如：佢講事番番倒倒，得人挱毋會着。","他跑很快，你抓不到他啦。
他說話顛三倒四，讓人摸不著頭緒。",,動詞,,4外在活動與動作
4-196,徙位,sai^ bbi,"移開原來的位子至別處，亦可說「徙走、徙開」。
例如：這輛車仰子會歇在路中央？攔緊喊車主來徙位。",這輛車子怎麼會停在路中間？趕緊叫車主來移開。,,動詞,,4外在活動與動作
4-197,閃俐俐,shiam^/sham^ li li,"躲得遠遠的。
例如：講着食，大家即尖偎來；講着算數，大家即閃俐俐。",講到吃，大家就擠著過來；說到算帳，大家就急忙閃開。,,動詞,,4外在活動與動作
4-198,閃走,shiam^/shamˆ zeu^,"躲開、避開。
例如：佢這禮拜毋知仰子，䀴著先生即閃走。",他這星期不知怎麼了，看到老師就躲開。,,動詞,,4外在活動與動作
4-199,三擇四擇,samˇ too si^ too,"一再挑選。
例如：若愛即煞煞決定，毋好在遐三擇四擇。",如果要就趕快決定，別在那兒三挑四選。,,形容詞,,4外在活動與動作
4-200,三叮嚀四吩咐,samˇ denˇ nenˋ si^ fanˇ fu^,"一再的叮囑。
例如：第一擺出國，阿依三叮嚀四吩咐，喊𠊎愛好好照顧自家个身體。",第一次出國，媽媽一再的叮囑，叫我要好好照顧自己的身體。,,動詞,,4外在活動與動作
4-201,三揀四揀,samˇ giam^ si^ giam^,"挑三揀四。
例如：三揀四揀，揀着一個賣牛眼；三擇四擇，擇着一個賣瓠杓。（諺）",三選四選，選到一個賣龍眼；三挑四挑，挑到一個賣水瓢。 ,,動詞,,4外在活動與動作
4-202,搧耳子,shen^ ngi^ zu^ ,"打耳光。
例如：成過細子若番講毋會聽，會得爺哀捉來搧耳子。",從前小孩子如果頑皮講不聽，會被父母抓來打耳光。,,動詞,,4外在活動與動作
4-203,山歌溜天,sanˇ gooˇ liuˇ teenˇ,"山歌嘹亮，聲音不斷，引申為生活快樂，無憂無慮。
例如：伯公下个老人家逐日歡頭喜面，山歌溜天，䀴起來日真好過。",土地公廟旁的老人家每天笑容滿面，生活快樂、無憂無慮，看起來日子過得很好。,,動詞,,4外在活動與動作
4-204,屎朏凸凸,shi^ fudˊ tudˋ tudˋ,"坦露屁股。
例如：佢个短褲恁細截定，屎朏凸凸得人䀴着啊。",他的短褲這麼一小截而已，坦露屁股被看到了。,,副詞,,4外在活動與動作
4-205,用箸,rhung chi,"使用筷子。
例如：佢毋會曉用箸，挾毋會着菜來食。",他不會使用筷子，挾不到菜吃。,,動詞,,4外在活動與動作
4-206,毋得食,mˋ dedˊ shiedˋ,"不能吃。反言之，可以吃則為「食得」。
例如：這粒柑子生菇，毋得食啊。
例如：阿依屙落屎，麼个都毋得食，正糜會食个。","這橘子發霉，不能吃了。
媽媽拉肚子，什麼都不能吃，只有稀飯能吃。",,動詞,,4外在活動與動作
4-207,食毋會去,shiedˋ mˇ moi kui^,"吃不完。另有「衫褲著毋去」也常用。
例如：毋好煮恁多，屋下單單兩儕人，食毋會去漕莫真打爽。",別煮這麼多，家裡才兩個人，吃不完倒掉很浪費。,,動詞,,4外在活動與動作
4-208,失聲,shidˊ shangˇ,"失聲。
例如：教書个人，歸日講無歇，一下無堵好即會失聲。
例如：海脣風恁大，你又講無恬，若食着海風，轉去會失聲。","教書的人，整天說個不停，一個不小心就會失聲。
海邊風這麼大，你又說個不停，如果喝到海風，回去會失聲。",,動詞,,4外在活動與動作
4-209,承水,shinˋ fi^,"以盛器接水。
例如：落大雨，屋崠水直直漏，去提一隻桶來承水。",下大雨，屋頂一直漏水，去拿一個桶子來接水。,,動詞,,4外在活動與動作
4-210,挲平來,sooˇ piangˋ loiˋ,"抹平。
例如：衫褲愛挲平來摺，正毋會皺䫌䫌。",衣服要抹平再摺，才不會皺巴巴的。,,動詞,,4外在活動與動作
4-211,趖,sooˋ,形容像蟲蠕動一般的爬行。例「趖過」、「趖來趖去」。,爬過去、爬來爬去。,,動詞,,4外在活動與動作
4-212,嗍汗,sooˊ hon,"吸汗。
例如：熱天愛著較嗍汗个衫褲，會較快活。",夏天要穿比較吸汗的衣服，會比較舒爽。,,動詞,,4外在活動與動作
4-213,算來算去,son^ loiˋ son^ kui^,"來回周密的計算。
例如：𠊎算來算去，猶係這張保險單个條件頭好。",我來回周密的計算，還是這張保險單的條件最好。,,動詞,,4外在活動與動作
4-214,上上去,shongˇ shongˇ kui^,"把東西放置高處或上方。
例如：這大鑊較少用著，拁佢上上去棚崠，若討用正提落來。",這大鍋子比較少用，把它放上去櫥櫃上方，如果要用再拿下來。,,動詞,,4外在活動與動作
4-215,上肩,shongˇ geenˇ,"將物品扛上肩膀。
例如：阿哥身體真勇，恁大个穀包上肩做一下毋使人鬥相共。",哥哥身體很健壯，這麼大的穀包上肩完全不用人幫忙。,,動詞,,4外在活動與動作
4-216,上下,shongˇ ha/shong haˇ,"經過；左右，約略之意。
例如：有上下愛入來坐。
例如：這尾石斑，差不多有兩斤上下。","有經過要進來聊聊。
這條石斑魚，差不多有兩斤左右。",,動詞,副詞,4外在活動與動作
4-217,上上下下,shong shong haˇ haˇ,"來來往往。
例如：臺北火車頭歸日上上下下个人，毋知有幾多？",臺北火車站整天來來往往的人，不知道有多少？,,形容詞,,4外在活動與動作
4-218,大細聲,tai se^ shangˇ,"大聲責罵。
例如：這下事情猶吂舞清楚，你莫在這大細聲。",現在事情還沒弄清楚，你別在這兒大小聲。,,動詞,,4外在活動與動作
4-219,探手,tamˇ shiu^,"伸手勉強搆著。
例如：紅棗樹毋會真高，毋使探手就捋會著紅棗。",紅棗樹不會很高，不用費力伸手就摘得到棗子。,,動詞,,4外在活動與動作
4-220,透水,teu^ fi^,"引水。
例如：阿依用水管對水道頭透水沃菜。",媽媽用水管從水龍頭引水澆菜。,,動詞,,4外在活動與動作
4-221,敨氣,teu^ ki^,"把氣輸出；呼吸。
例如：阿公敨氣毋會順，阿怙攔緊載佢去醫院得先生䀴。",祖父呼吸不順，爸爸趕緊載他到醫院給醫師看。,,動詞,,4外在活動與動作
4-222,敨開來,teu^ koiˇ loiˋ,"鬆開、放鬆。
例如：衫褲毋好束到恁緪，敨開來較爽快。",衣服別紮得那麼緊，把它鬆開比較舒服。,,動詞,,4外在活動與動作
4-223,敨涼,teu^ liongˋ,"休息一下，使之舒爽。
例如：恁熱个天，先在樹下敨涼一下正行，好無？",這麼熱的天氣，先在樹下休息、涼爽一下再走，好嗎？,,動詞,,4外在活動與動作
4-224,敨水,teu^ fi^,"摻入水、稀釋，例如「滾水傷燒，敨兜冷水」。
例如：這杯西瓜汁攏無敨水，難怪啉起來恁醹。",這杯西瓜汁完全沒有摻入水，難怪喝起來這麼濃稠。,,動詞,,4外在活動與動作
4-225,敨大氣,teu^ tai ki^,"嘆氣；深呼吸。
例如：仰子會好好个嗄敨大氣？有發生麼个事情係無？",怎麼會好端端的嘆氣？有發生什麼事情是嗎？,,動詞,,4外在活動與動作
4-226,摻水,camˇ fi^,"加入水使其變稀。
例如：蜂糖會用夾麵包食，嘛會用摻水來啉。",蜂蜜可以夾麵包吃，也可以加入水稀釋來喝。,,動詞,,4外在活動與動作
4-227,偷偷㘝㘝,teuˇ teuˇ ngiabˊ ngiabˊ,"偷偷摸摸，暗中夾藏的樣子。
例如：阿梅見擺轉外家，厥依攏會偷偷㘝㘝包一兜仔物件得佢抸轉去。",阿梅每次回娘家，她媽媽就會偷偷包一點東西給她帶回去。,,形容詞,,4外在活動與動作
4-228,頭勾勾,teuˋ geuˇ geuˇ,"伸頭外望的樣子，比喻引頸期盼。
例如：厥依頭勾勾，望佢轉來鬥相共屋下个事業。",他的母親引頸期盼，希望他回來幫忙家裡的事業。,,形容詞,,4外在活動與動作
4-229,挑竻,teeuˇ ledˊ,"剔出、摒除刺。
例如：趁錢可比針挑竻，開錢可比水推沙。（諺）",賺錢好比針挑刺一般困難，而花錢卻像水沖沙一般容易。,,動詞,,4外在活動與動作
4-230,跳上跳落,teeu^ shongˇ teeu^ loo,"跳上跳下；忙裡忙外，表示忙得不可開交的樣子。
例如：遐個細子在石頷面上跳上跳落。
例如：你跳上跳落，鬥底在無閒麼个？","那小孩在石階上面跳上跳下。
你忙裡忙外的，到底在忙什麼？",,動詞,,4外在活動與動作
4-231,歇腳,hiedˊ giooˊ,"休息片刻，也可引申作沉澱用。
例如：這盆水猶醹醹，愛先囥得佢歇腳正來用。
",這盆水還濁濁的，要先放著讓它沉澱再來用。,,動詞,,4外在活動與動作
4-232,滑倒,bbadˋ doo^,"滑倒。
例如：麼儕拁泥下捽到溼答答，害𠊎滑倒。",誰把地板擦得溼溼答答的，害我滑倒。,,動詞,,4外在活動與動作
4-233,盪,tongˇ,以手掌往水平方向揮打，常為大面積的接觸，且力氣較大。例如「手掌盪過去」、「盪手掌」。,"巴掌搧過去。
賞巴掌。",,動詞,,4外在活動與動作
4-234,偎,bba^,偏向；挨近。例如「偎一裡」。,靠向一邊。,,形容詞,,4外在活動與動作
4-235,偎脣,bba^ finˋ,"靠邊。
例如：你个車偎脣兜，正毋會礙着人。",你的車子靠邊些，才不會妨礙人。,,動詞,,4外在活動與動作
4-236,斡來斡去,bbadˋ/uainndˋ loiˋ bbadˋ/uainndˋ kui^,"彎來彎去。
例如：這條山路斡來斡去，車真難駛。",這條山路彎來彎去，車子很難開。,,動詞,,4外在活動與動作
4-237,斡頭,bbadˋ/uainndˋ teuˋ,"轉頭、回頭，常用於人或車輛。
例如：和佢講無兩句事即斡頭做佢走，毋知在氣麼个。",跟他說沒兩句話他就掉頭逕自跑掉，不知道在氣什麼。,,動詞,,4外在活動與動作
4-238,鉤着,geuˇ choo,鉤到，例如「膨線衫得釘鉤着」。,毛衣被釘子鉤到。,,動詞,,4外在活動與動作
4-239,橫倒,bbangˋ doo^,"跌倒；直着身軀倒下。
例如：佢身體無爽快，行兩步就橫倒，得人送去病院。",他身體不舒服，走兩步路就倒下，被人送去醫院。,,動詞,,4外在活動與動作
4-240,撅加橫,geˋ gaˇ bbangˋ,"人或物體倒下來。
例如：颱風過後，真多樹撅加橫。",颱風過後，很多樹倒下來。,,動詞,,4外在活動與動作
4-241,偏來偏去,pienˇ loiˋ pienˇ kui^,"搖搖晃晃。
例如：佢食忒多酒，醉到行路偏來偏去。",他喝太多酒，醉得走路搖搖晃晃。,,動詞,,4外在活動與動作
4-242,抿彎,bbidˊ bbanˇ,"把東西折彎。
例如：塑膠笐愛先用火烘下，正較好抿彎。",塑膠管要先用火烘一下，才比較好弄彎。,,動詞,,4外在活動與動作
4-243,搵蹛,bbun dai^,"躺臥著，或指賴著不走。
例如：毋好歸日在屋下搵蹛，愛出去行行。
例如：細子在泥下搵蹛直直唩，愛厥爺哀買童物得佢。","別整天在家裡賴著，要出去走一走。
小孩子在地上賴著一直哭，硬要父母買玩具給他。",,動詞,,4外在活動與動作
4-244,搵泥下,bbun^ niˋ haˇ,"躺、坐在地上或在地上打滾。
例如：這個細子得大人容壞去，停動着即頓腳搵泥下。",這小孩被大人寵壞了，動不動就跺腳、在地上打滾耍賴。,,動詞,,4外在活動與動作
4-245,四腳翹天,si^ giooˊ kioo^ teenˇ,"四腳朝天或四肢張開的樣子。
例如：阿玲童物賞了無撿揫，害厥依蹬着，跌到四腳翹天。",阿玲玩具玩完沒有收拾，害她媽媽踩到，跌到四腳朝天。,,動詞,,4外在活動與動作
4-246,絲,siˇ,撕去植物較老的表皮。例「絲番薯葉梗」、「絲芋卵梗」。,"撕地瓜葉莖。
撕芋頭葉莖。",,動詞,,4外在活動與動作
4-247,削着,siooˊ choo,"刀類割傷。
例如：割草个時務愛細義兜，正毋會得鐮鐵削着。",割草的時候要小心點，才不會被鐮刀割傷。,,動詞,,4外在活動與動作
4-248,潛水,ciamˋ fi^,"潛水。
例如：𠊎想討去墾丁學潛水。",我想去墾丁學潛水。,,動詞,,4外在活動與動作
4-249,先行,sienˇ hangˋ,"先走。
例如：你人先行無要緊，𠊎鞋帶䌈好即會跈捎著去。",你們先走沒關係，我的鞋帶綁好就會跟著追上去。,,動詞,,4外在活動與動作
4-250,遮揞,zhaˇ emˇ,"遮掩。
例如：佢偷提物件得巡查捉着，感覺見笑，即攔緊提衫來遮揞面。",他偷東西被警察抓到，感到丟臉，就趕快拿衣服來遮掩臉。,,動詞,,4外在活動與動作
4-251,挱起來,saˇ ki^ loiˋ,"抓起來、拉起來。
例如：佢拁桌崠个糖，歸下挱起來隨走阿。",他把桌上的糖果，全部抓起來帶走了。,,動詞,,4外在活動與動作
4-252,炙日頭,zhaˊ ngidˊ teuˋ,"晒太陽。
例如：天氣恁寒，去外頭炙日頭，會較燒暖。
例如：天氣恁好，被擎出去炙日頭。","天氣那麼冷，去外面晒太陽，會比較暖和。
天氣這麼好，被胎拿出去晒太陽。",,動詞,,4外在活動與動作
4-253,絞過去,gau^ goo^ kui^,"以滾輪壓過去。
例如：燒燒个打馬膠愛用石輪絞過去，大路正毋會礫礫矻矻。",熱熱的柏油要用石輪壓過，馬路才不會凹凸不平。,,動詞,,4外在活動與動作
4-254,碾泥下,zan^ niˋ haˇ,"在地上滾。
例如：遐隻狗正洗好又碾泥下，碾到屙屙糟糟。",那隻狗剛洗好又在地上打滾，滾得髒兮兮。,,動詞,,4外在活動與動作
4-255,涉水,shiabˋ fi^,"以腳踩水嬉戲。
例如：落雨過後，細子在水窟涉水，賞到鞋溼溼。",下雨過後，小孩子在水窪踩水嬉戲，弄得鞋子溼溼的。,,動詞,,4外在活動與動作
4-256,舂人,zhungˇ nginˋ,"握緊拳頭揍人。
例如：佢拳頭嫲揢个，像討舂人个樣。",他緊握拳頭，像是要揍人的樣子。,,動詞,,4外在活動與動作
4-257,走東走西,zeu^ dungˇ zeu^ seˇ,"到處走，無確定目標的走。
例如：防疫期間無法度走東走西，足艱難个！",防疫期間沒有辦法到處走，好難受喔！,,動詞,,4外在活動與動作
4-258,走俐俐（閃俐俐）,zeu^ li li (shiam^/shamˆ li li),"跑走，閃得俐落。
例如：遐個賊偷提物件，警察吂到位，佢即對後門出，走俐俐。
例如：這擺金融風暴，佢个股票、基金全部走俐俐，無麼个了着。","那個小偷偷東西，警察還沒到，他就從後門出去，跑得無影無蹤。
這次金融風暴，他的股票、基金全部賣光光，沒什麼虧損。",,動詞,,4外在活動與動作
4-259,走毋會赴,zeu^ mˇ moi fu^,"來不及跑。
例如：這擺火災，真多人因為走毋會赴得火燒死去。",這次火災，很多人因為來不及跑被火燒死了。,,動詞,,4外在活動與動作
4-260,走毋會俐,zeu^ mˇ moi li,"逃不開、避不掉。
例如：賊偷提物件得頭家捉着，這下即走毋會俐啊！",小偷偷東西被老闆抓到，這下可逃不掉了！,,動詞,,4外在活動與動作
4-261,渟,tenˋ,"倒茶。
例如：阿媽真工夫，有人客來屋下尞，佢定著會渟茶得人啉。",祖母很細心周到，有客人來家裡玩，她一定會倒茶給客人喝。,,動詞,,4外在活動與動作
4-262,做加做減（加減做）,zoo^ gaˇ zoo^ giam^ (gaˇ giam^ zoo^),"多少做一點。
例如：退休閒閒，成時屋下个事做加做減，身體停動下嘛好。",退休後沒事做，有時候家裡的事多少做一點，身體動一動也好。,,副詞,,4外在活動與動作
4-263,出力,chidˊ lidˋ,"使力、用力、出力。
例如：佢中風過後，正手毋會出力，連飯碗都提毋會起來。
例如：𠊎个腳真毋會出力，哪位都毋會用去。","他中風過後，右手不能使力，連飯碗都端不起來。
我的腳很難用力，哪都去不了。",,動詞,,4外在活動與動作
4-264,載去載轉,zai^ kui^ zai^ zheen^ ,"載過來載過去。
例如：上下班時間，車枋載去載轉，仰子等車个人猶係恁多？",上下班時間，車班載來載去，怎麼等車的人還是那麼多？,,動詞,,4外在活動與動作
4-265,嘴就合毋會偎,zhe^ chiu habˋ mˇ moi bba^,"合不攏嘴。
例如：阿妹數學考一百分，歡喜到嘴就合毋會偎。",妹妹數學考一百分，高興到合不攏嘴。,,動詞,,4外在活動與動作
4-266,鑽空,zon^ kungˇ,"鑽洞。
例如：阿怙打早即提著鑽仔在遐鑽空，舞到歸屋下人做下毋得睡。",爸爸一大早就拿著鑽子在那兒鑽洞，弄得全家人完全睡不得。,,動詞,,4外在活動與動作
